Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,Date
1986,6,15,Pakistan,North-West Frontier Province,South Asia,Pabbi,34.011395,71.798103,Bombing/Explosion,1,35,Khyber Mail express train,Unknown,Transportation,Explosives,36,
1986,6,16,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,3,25,Movie House,Unknown,Business,Explosives,28,
1986,6,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,22,Hotel,Unknown,Business,Explosives,22,
1986,7,27,Pakistan,Federally Administered Tribal Areas,South Asia,Kurram district,33.695975,70.336069,Bombing/Explosion,6,3,pick-up truck carrying Afghan refugees,Unknown,Private Citizens & Property,Explosives,9,
1986,9,24,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Assassination,0,1,Capital airport,Unknown,Airports & Aircraft,Firearms,1,
1987,2,1,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Facility/Infrastructure Attack,0,0,Gas Pipeline 15 mi from city,Pro-Kabul Provocateurs,Utilities,Explosives,0,1987-01-02
1987,2,6,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Unknown,1,27,Quetta Hotel,Unknown,Business,Unknown,28,1987-06-02
1987,2,19,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,9,61,Truck,Unknown,Private Citizens & Property,Explosives,70,
1987,3,23,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,9,100,Allama Ihsan Elahi Zaheer,Unknown,Government (General),Explosives,109,
1987,4,9,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,8,40,Kashmiri Bazaar,Unknown,Private Citizens & Property,Explosives,48,1987-09-04
1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,0,0,Afghan Refugee Office,Unknown,Government (General),Explosives,0,1987-04-05
1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,7,11,Mosque,Unknown,Religious Figures/Institutions,Explosives,18,1987-04-05
1987,5,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,7,32,Bus Terminal,Unknown,Transportation,Explosives,39,
1987,5,22,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,11,Bus Station,Unknown,Transportation,Explosives,11,
1987,6,2,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,27,Raja Bazaar,Unknown,Private Citizens & Property,Explosives,27,1987-02-06
1987,6,14,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,0,US Aid Office,Unknown,Government (Diplomatic),Explosives,0,
1987,6,21,Pakistan,Khyber Pakhtunkhwa,South Asia,Swat district,35.481293,72.524259,Assassination,1,0,Prov. Legislator,Unknown,Government (General),Firearms,1,
1987,7,4,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,5,Hotel,Unknown,Business,Explosives,6,1987-04-07
1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,50,Train Station,Unknown,Transportation,Explosives,55,1987-05-07
1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,0,Bus Station,Unknown,Transportation,Explosives,5,1987-05-07
1987,8,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,36,Tea Stand,Unknown,Business,Explosives,38,1987-08-08
1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,10,0,Shopping Area,Unknown,Private Citizens & Property,Explosives,10,1987-10-08
1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,5,35,Bus Station,Unknown,Transportation,Explosives,40,1987-10-08
1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,0,0,Sports Stadium,Unknown,Private Citizens & Property,Explosives,0,1987-11-08
1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,7,45,Bus Station,Unknown,Transportation,Explosives,52,1987-11-08
1987,8,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,13,Shopping Area,Unknown,Private Citizens & Property,Explosives,15,
1987,8,26,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,1,6,Bus Station,Unknown,Transportation,Explosives,7,
1987,9,10,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,25,Fruit Market,Unknown,Business,Explosives,27,1987-10-09
1987,9,10,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,10,Street,Unknown,Private Citizens & Property,Explosives,10,1987-10-09
1987,9,18,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,5,16,Bus Station,Unknown,Transportation,Explosives,21,
1987,10,12,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,13,Bus Station,Unknown,Transportation,Explosives,13,1987-12-10
1987,11,1,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,1,1,Hotel,Unknown,Business,Explosives,2,1987-01-11
1987,11,18,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,1,19,Bus,Unknown,Transportation,Explosives,20,
1987,11,22,Pakistan,Balochistan,South Asia,Unknown,28.312161,65.663892,Bombing/Explosion,2,16,Railway Station,Unknown,Transportation,Explosives,18,
1987,11,29,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,3,Polling Booth,Unknown,Government (General),Explosives,3,
1987,12,22,Pakistan,North-West Frontier Province,South Asia,Chamkani,34.005901,71.648872,Bombing/Explosion,0,0,Rail Line,Unknown,Transportation,Explosives,0,
1987,12,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,40,Shalimar-8 Market,Unknown,Business,Explosives,41,
1988,1,26,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,9,27,Bus,Unknown,Transportation,Explosives,36,
1988,2,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,11,0,Hotel,Unknown,Business,Explosives,11,
1988,2,27,Pakistan,North-West Frontier Province,South Asia,Thal,33.363258,70.547846,Bombing/Explosion,5,11,Bazaar,Unknown,Private Citizens & Property,Explosives,16,
1988,3,12,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Hijacking,0,1,Aircraft (airbus a-300),Unknown,Airports & Aircraft,Firearms,1,1988-12-03
1988,3,25,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,8,Koh Gadai Bus Station,Unknown,Transportation,Explosives,8,
1988,3,30,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,7,15,Bazaar,Unknown,Private Citizens & Property,Explosives,22,
1988,4,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,3,Train,Unknown,Transportation,Explosives,5,1988-11-04
1988,4,16,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,4,11,Bus Station,Unknown,Transportation,Explosives,15,
1988,5,2,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,9,Marketplace,Unknown,Private Citizens & Property,Explosives,9,1988-02-05
1988,5,5,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Assassination,2,0,2 children,Unknown,Private Citizens & Property,Explosives,2,1988-05-05
1988,5,10,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,8,Railway Crossing,Unknown,Transportation,Explosives,8,1988-10-05
1988,6,25,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,13,4,Prince Hotel,Unknown,Business,Explosives,17,
1988,8,16,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,4,0,Street,Unknown,Private Citizens & Property,Explosives,4,
1988,8,17,Pakistan,Punjab,South Asia,Bahawalpur,29.395681,71.676924,Assassination,37,0,President Zia,Unknown,Military,Unknown,37,
1988,8,30,Pakistan,Punjab,South Asia,Attock,33.766336,72.357344,Bombing/Explosion,3,13,Khyber Mail Train,Unknown,Transportation,Explosives,16,
1988,10,18,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,3,18,Town Bazaar,Unknown,Private Citizens & Property,Explosives,21,
1988,10,18,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,7,25,Hotel,Unknown,Business,Explosives,32,
1988,10,23,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,0,8,Aabpara Bus Terminal,Unknown,Transportation,Explosives,8,
1988,10,26,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,1,14,Marketplace,Unknown,Private Citizens & Property,Explosives,15,
1988,11,15,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,0,Shopping Area,Unknown,Private Citizens & Property,Explosives,1,
1989,1,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,14,charsada bus station,Khalistan Commando Force,Transportation,Explosives,18,1989-11-01
1989,2,5,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,3,5,Bus Station,Unknown,Transportation,Explosives,8,1989-05-02
1989,5,11,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,1,Room in Karachi Hotel,Unknown,Business,Explosives,2,1989-11-05
1989,6,9,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,16,Video Store in Kachakhani bazzaar,Unknown,Business,Explosives,16,1989-09-06
1989,7,4,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,9,34,Bus,Unknown,Transportation,Explosives,43,1989-04-07
1989,7,17,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,6,Loco Colony (Housing Area),Unknown,Transportation,Explosives,6,
1989,8,6,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,30,Sadar area,Unknown,Private Citizens & Property,Explosives,30,1989-06-08
1989,8,6,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,26,New Vegeatable market,Unknown,Private Citizens & Property,Explosives,30,1989-06-08
1989,9,13,Pakistan,North-West Frontier Province,South Asia,Shabqadar,34.217285,71.561043,Bombing/Explosion,5,22,Restaurant,Unknown,Business,Explosives,27,
1989,9,14,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,8,27,Chemical Store,Unknown,Business,Explosives,35,
1989,9,26,Pakistan,North-West Frontier Province,South Asia,Hayatabad,33.976307,71.437157,Bombing/Explosion,0,5,Khyber Park,Unknown,Private Citizens & Property,Explosives,5,
1989,11,2,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Assassination,1,0,Policeman,Unknown,Police,Firearms,1,1989-02-11
1989,12,19,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Assassination,1,0,Vice Chairman Municipal Council Ziauddin Isran,Unknown,Government (General),Firearms,1,
1990,1,18,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Assassination,2,0,Leaders,Unknown,Violent Political Party,Firearms,2,
1990,2,24,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Armed Assault,1,8,Market,Unknown,Private Citizens & Property,Firearms,9,
1990,3,25,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,6,0,Leaders,Unknown,Terrorists/Non-State Militia,Firearms,6,
1990,4,18,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Bombing/Explosion,3,28,van carrying schoolboys,Unknown,Educational Institution,Explosives,31,
1990,5,6,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,15,50,express train,Unknown,Transportation,Explosives,65,1990-06-05
1990,5,31,Pakistan,Sindh,South Asia,Khairpur,27.528896,68.759819,Assassination,0,0,Journalist Rahat Hussain Kazmi,Unknown,Journalists & Media,Firearms,0,
1990,6,2,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Assassination,2,0,Ahmad Khan Kamal/Muthair Hussain Naqvi,Unknown,Journalists & Media,Firearms,2,1990-02-06
1990,6,22,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Assassination,3,2,"Minister w/o Portfolio Haji Eid Mohammed Murtazi, last name also spelled*",Unknown,Government (General),Firearms,5,
1990,7,15,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,12,0,harachi express,Unknown,Transportation,Explosives,12,
1990,8,30,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,8,14,express tarin,Unknown,Transportation,Explosives,22,
1990,8,30,Pakistan,Punjab,South Asia,Faisalabad,31.408822,73.083021,Bombing/Explosion,3,26,dhaula Bazar,Unknown,Private Citizens & Property,Explosives,29,
1990,9,26,Pakistan,Punjab,South Asia,Sialkot,32.493537,74.530343,Bombing/Explosion,7,14,minibus,Unknown,Transportation,Explosives,21,
1990,11,19,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,14,tea shop,Unknown,Business,Explosives,14,
1990,12,19,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Assassination,1,0,Director General Ardeshir Sadegh Ganji,Sipah-e-Sahaba/Pakistan (SSP),Government (General),Firearms,1,
1991,1,9,Pakistan,Punjab,South Asia,Unknown,31.090612,72.35952,Assassination,1,0,Son-in-law of candidate,Unknown,Government (General),Firearms,1,1991-09-01
1991,1,10,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Assassination,1,0,"Member, Maulana Esarul Qasmi *",Unknown,Government (General),Firearms,1,1991-10-01
1991,1,19,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,4,40,movie theater,Unknown,Business,Explosives,44,
1991,2,4,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Armed Assault,2,1,unit,Unknown,Police,Firearms,3,1991-04-02
1991,2,6,Pakistan,Punjab,South Asia,Sialkot,32.493537,74.530343,Bombing/Explosion,3,30,Mini-bus,Unknown,Transportation,Explosives,33,1991-06-02
1991,2,15,Pakistan,Balochistan,South Asia,Dalbandin,28.893738,64.405846,Bombing/Explosion,7,12,Market (located near a Petrol dump),Unknown,Private Citizens & Property,Explosives,19,
1991,2,19,Pakistan,Punjab,South Asia,Gujrat,32.572323,74.076622,Bombing/Explosion,3,5,Cart for taking passengers to bus station,Unknown,Transportation,Explosives,8,
1991,2,20,Pakistan,Punjab,South Asia,Gujrat,32.572323,74.076622,Bombing/Explosion,3,6,mission school,Unknown,Educational Institution,Explosives,9,
1991,2,25,Pakistan,Balochistan,South Asia,Dalbandin,28.893738,64.405846,Bombing/Explosion,0,0,3 government trucks,Unknown,Government (General),Explosives,0,
1991,3,17,Pakistan,Sindh,South Asia,Unknown,26.172116,68.835918,Hostage Taking (Kidnapping),5,0,3 Japanese Students on Rafting Trip,Dacoits,Private Citizens & Property,Firearms,5,
1991,4,10,Pakistan,Sindh,South Asia,Khairpur,27.528896,68.759819,Hostage Taking (Kidnapping),2,0,Peter Scorbert,Dacoits,Business,Firearms,2,1991-10-04
1991,5,10,Pakistan,Sindh,South Asia,Nawabshah,26.241957,68.399292,Armed Assault,2,7,Train,Unknown,Transportation,Firearms,9,1991-10-05
1991,5,19,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Armed Assault,3,16,Market tower Market,Unknown,Private Citizens & Property,Firearms,19,
1991,6,5,Pakistan,Sindh,South Asia,Nawabshah,26.241957,68.399292,Armed Assault,7,0,Unit,Dacoits,Police,Firearms,7,1991-05-06
1991,6,18,Pakistan,Federally Administered Tribal Areas,South Asia,Landi Kotal,34.110325,71.163803,Bombing/Explosion,8,18,Restaurant in Hotel,Unknown,Business,Explosives,26,
1991,6,29,Pakistan,Azad Kashmir,South Asia,Muzaffarabad,34.35946,73.468877,Assassination,0,0,President Sardar Abdul Qayyum,Unknown,Government (General),Explosives,0,
1991,6,29,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Armed Assault,5,0,Unit,Dacoits,Police,Firearms,5,
1991,7,11,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,10,Bus,Unknown,Transportation,Explosives,10,1991-11-07
1991,7,23,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,4,Shi'ite gathering,Unknown,Private Citizens & Property,Explosives,4,
1991,7,25,Pakistan,Punjab,South Asia,Unknown,31.090612,72.35952,Bombing/Explosion,1,8,Bazaar,Unknown,Private Citizens & Property,Explosives,9,
1991,8,20,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Bombing/Explosion,4,20,Shig Moslem Procession,Unknown,Religious Figures/Institutions,Firearms,24,
1991,8,22,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,1,10,Bazaar,Unknown,Private Citizens & Property,Explosives,11,
1991,9,1,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,2,9,city market,Unknown,Private Citizens & Property,Explosives,11,1991-01-09
1991,9,1,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,0,0,Bookshop,Unknown,Business,Explosives,0,1991-01-09
1991,9,6,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,1,"home, local leader",Unknown,Private Citizens & Property,Explosives,1,1991-06-09
1991,9,7,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Assassination,5,0,5 sunni moslem scholars *,Unknown,Religious Figures/Institutions,Firearms,5,1991-07-09
1991,9,10,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,13,Shi'ite Moslem Mosque,Unknown,Religious Figures/Institutions,Explosives,13,1991-10-09
1991,9,29,Pakistan,Gilgit-Baltistan,South Asia,Gilgit,35.918091,74.289803,Hostage Taking (Kidnapping),0,0,Dr. Ingrid Reuder,Unknown,Private Citizens & Property,Unknown,0,
1991,9,30,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.856902,71.429936,Assassination,2,0,Leader Maulvi Jamilur Rehman,Hizb-I-Islami,Terrorists/Non-State Militia,Firearms,2,
1991,10,11,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Armed Assault,2,2,Central Office,Unknown,Government (General),Firearms,4,1991-11-10
1991,10,27,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Bombing/Explosion,0,11,Student Group,Unknown,Private Citizens & Property,Explosives,11,
1991,11,1,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,1,1,Railway Station,Unknown,Transportation,Explosives,2,1991-01-11
1991,11,4,Pakistan,Punjab,South Asia,Gujranwala,32.156489,74.187658,Bombing/Explosion,2,15,Minibus,Unknown,Transportation,Explosives,17,1991-04-11
1991,11,19,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,5,5,10 Member Patrol,Unknown,Police,Firearms,10,
1991,11,29,Pakistan,North-West Frontier Province,South Asia,Pabbi,34.011395,71.798103,Bombing/Explosion,1,2,group of persons,Unknown,Unknown,Explosives,3,
1991,11,30,Pakistan,North-West Frontier Province,South Asia,Swat district,34.767228,72.376782,Unknown,5,8,Pickup Truck,Unknown,Private Citizens & Property,Unknown,13,
1991,12,9,Pakistan,North-West Frontier Province,South Asia,Buner district,34.396497,72.615832,Assassination,0,1,"Donald Mackay, Project Employee *",Unknown,Government (Diplomatic),Firearms,1,1991-09-12
1991,12,27,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Bombing/Explosion,3,11,Sunni Moslem Mosque,Shia Muslim extremists,Religious Figures/Institutions,Explosives,14,
1992,1,18,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,8,market,Unknown,Private Citizens & Property,Explosives,9,
1992,1,20,Pakistan,Sindh,South Asia,Jamshoro,25.416302,68.286728,Bombing/Explosion,0,0,line,Unknown,Transportation,Explosives,0,
1992,3,3,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Armed Assault,0,0,Village of Hamzo Bhatti,Unknown,Private Citizens & Property,Firearms,0,1992-03-03
1992,3,7,Pakistan,Balochistan,South Asia,Unknown,28.312161,65.663892,Armed Assault,2,0,unit,Political Group,Government (General),Firearms,2,1992-07-03
1992,3,12,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Armed Assault,13,0,vehicle,Unknown,Police,Firearms,13,1992-12-03
1992,3,13,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,0,3,express train,Unknown,Transportation,Explosives,3,
1992,3,21,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,2,0,Post,Unknown,Police,Firearms,2,
1992,3,24,Pakistan,Sindh,South Asia,Unknown,26.172116,68.835918,Armed Assault,3,0,Unit,Unknown,Police,Firearms,3,
1992,4,4,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,1,4,restaurant,Unknown,Business,Explosives,5,1992-04-04
1992,4,13,Pakistan,Sindh,South Asia,Sibi,29.548279,67.879189,Assassination,8,0,Chieftan Taj Mohammed Rind,Unknown,Private Citizens & Property,Firearms,8,
1992,5,7,Pakistan,Sindh,South Asia,Unknown,26.172116,68.835918,Bombing/Explosion,4,20,street,Unknown,Private Citizens & Property,Explosives,24,1992-07-05
1992,5,9,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Assassination,6,0,Activist Shakil Ahmad,Sindhi nationalists,Private Citizens & Property,Explosives,6,1992-09-05
1992,5,9,Pakistan,Balochistan,South Asia,Chaman,30.92211,66.45153,Bombing/Explosion,0,0,Nasir Canal,Sindhi nationalists,Food or Water Supply,Explosives,0,1992-09-05
1992,5,9,Pakistan,Sindh,South Asia,Unknown,26.247011,68.693446,Armed Assault,7,0,Vessel,Al-Zulfikar,Military,Firearms,7,1992-09-05
1992,5,31,Pakistan,Gilgit-Baltistan,South Asia,Gilgit,35.918091,74.289803,Assassination,1,0,Leader Shamsuddin,Sunni Muslim extremists,Private Citizens & Property,Firearms,1,
1992,6,6,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Bombing/Explosion,2,4,armored vehicle,Unknown,Police,Explosives,6,1992-06-06
1992,6,15,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Assassination,1,16,Local Leader Mukhtar Sial,Shia Muslim extremists,Private Citizens & Property,Firearms,17,
